"","country","games","iso_a3","population","medal_type","medal_winner","medal_total","medals_1","medals_2","medals_3","medals_4","medals_5","medals_1.team","rank_total","p_mean","p_median","p_credlow","p_credhigh","rank_mean","rank_median","rank_credlow","rank_credhigh","rank_mean_beta","rank_median_beta","observed_mpm","estimate_mpm","estimate_mpm_credlow","estimate_mpm_credhigh","rank_pc"
"39","Ghana","paris-2024","GHA",34427000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,39,1.17693413626262e-08,5.7878381695414e-09,1.09555675959822e-09,5.64005569190734e-08,NA,NA,NA,NA,NA,NA,0,0.0057878381695414,0.00109555675959822,0.0564005569190734,129
"40","Guam","paris-2024","GUM",168000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,40,2.72429150369281e-07,6.05902575815488e-08,1.32093451921186e-09,1.75238240005973e-06,NA,NA,NA,NA,NA,NA,0,0.0605902575815488,0.00132093451921186,1.75238240005973,130
"41","Guinea","paris-2024","GIN",14755000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,41,2.19213691495464e-08,8.99783272855453e-09,1.12543330638617e-09,1.15871611756872e-07,NA,NA,NA,NA,NA,NA,0,0.00899783272855453,0.00112543330638617,0.115871611756872,131
"42","Guinea-Bissau","paris-2024","GNB",2201000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,42,8.85180760205385e-08,2.50722937213886e-08,1.232694705383e-09,5.58874234681958e-07,NA,NA,NA,NA,NA,NA,0,0.0250722937213886,0.001232694705383,0.558874234681958,132
"43","Guyana[GUY]","paris-2024","GUY",831000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,43,1.65030983003303e-07,4.10923361085479e-08,1.28157356486812e-09,1.09236920056375e-06,NA,NA,NA,NA,NA,NA,0,0.0410923361085479,0.00128157356486812,1.09236920056375,133
"44","Haiti","paris-2024","HTI",11773000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,44,2.67197262707101e-08,1.04305043620873e-08,1.1405155023483e-09,1.48050095572683e-07,NA,NA,NA,NA,NA,NA,0,0.0104305043620873,0.0011405155023483,0.148050095572683,134
"45","Honduras","paris-2024","HND",10826000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,45,2.80670138300073e-08,1.100617877358e-08,1.1417125487486e-09,1.5416705983039e-07,NA,NA,NA,NA,NA,NA,0,0.01100617877358,0.0011417125487486,0.15416705983039,135
"46","Iceland","paris-2024","ISL",393000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,46,2.1638315690485e-07,5.11064619163542e-08,1.27907752972267e-09,1.43808160095988e-06,NA,NA,NA,NA,NA,NA,0,0.0511064619163542,0.00127907752972267,1.43808160095988,136
"47","Iraq","paris-2024","IRQ",46042000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,47,9.51094525801697e-09,5.03203737541731e-09,1.08751531966068e-09,4.42648032546288e-08,NA,NA,NA,NA,NA,NA,0,0.00503203737541731,0.00108751531966068,0.0442648032546288,137
"48","Kiribati","paris-2024","KIR",135000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,48,2.75372226590466e-07,5.78145714896534e-08,1.28263247535617e-09,1.83952180181064e-06,NA,NA,NA,NA,NA,NA,0,0.0578145714896534,0.00128263247535617,1.83952180181064,138
